id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date,predicted_category,confidence,prob_Ancient Western Asia,prob_Central Asia & Siberia,"prob_China, South Asia, & East Asia",prob_Cross-Cultural Studies & Other,prob_Egypt & North Africa,prob_European and Classical Antiquity,prob_The Caucasus & The Western Steppe
31154069010625,Bound Issue,In Process,DS171 .B36,NYU Inst Study Ancient World,Oak Collection,9998789467407876,Banber Matenadarani /,,,,Haykakan SSR gitutʻyunneri akademiayi hratarakchʻutʻyun,Erevan :,1956-,"Armenia--Civilization--Periodicals.; Manuscripts, Armenian--Periodicals.; Civilization.; Manuscripts, Armenian.; Armenia.; Periodicals.",(OCoLC)fst01206470,,0,v.4(1958),Garsoian,,,2026-03-20,2026-03-30,The Caucasus & The Western Steppe,0.8223506903330781,0.0,0.10726313352170583,0.02990366146665738,0.0,0.029369667511895643,0.011112847166663217,0.8223506903330781
31154068978186,Book,,DS795.4.T864 L8953 2025,NYU Inst Study Ancient World,Large Collection,9998788041707876,Lu Xian gu cheng cheng zhi kao gu kan tan bao gao /,7030797698; 9787030797698,,,Ke xue chu ban she,Beijing :,2025.,"Tongzhou Qu (Beijing, China)--Antiquities.; Luxian site.",,http://www.wikidata.org/entity/Q106725255,0,plates,,,,2026-03-16,2026-03-19,"China, South Asia, & East Asia",0.755558707656598,0.10989944838641426,0.06362599643423983,0.755558707656598,0.0,0.04317478329466275,0.01633640448987239,0.011404659738212801
31154068978202,Book,,HF3770.6 .A93 2025,NYU Inst Study Ancient World,Small Collection,9998786554707876,The warehouse of Bamiyan : economic life in medieval Afghanistan /,9781399546706; 1399546708; 9781399546713; 1399546716,,"Azad, Arezou, 1970- author.",Edinburgh University Press,Edinburgh :,[2025],"Commerce--History--Medieval, 500-1500.; Warehouses--History.; Bāmyān (Afghanistan)--Commerce--History.; Bāmyān (Afghanistan)--Economic conditions--History.; Bamiyan.; Commerce--Histoire--500-1500 (Moyen Âge); Entrepôts--Histoire.",http://vocab.getty.edu/tgn/1065380,,0,,,,,2026-03-03,2026-03-03,Central Asia & Siberia,0.5198478887882328,0.0,0.5198478887882328,0.0,0.1708071634589908,0.18282112296833877,0.12652382478443763,0.0
31154068978210,Book,,DS715 .Z46644 2024,NYU Inst Study Ancient World,Reference 5 Collection,9998786553107876,Zhongguo kao gu fa jue bao gao ti yao /,7520531058; 9787520531054,,,Zhongguo wen shi chu ban she,Beijing Shi :,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.,http://vocab.getty.edu/tgn/8697462; http://vocab.getty.edu/tgn/8697463;,,0,v.5,,,,2026-03-03,2026-03-03,"China, South Asia, & East Asia",0.9027634058405131,0.0,0.014105678216258017,0.9027634058405131,0.038689860250307705,0.03224155020858975,0.012199505484331259,0.0
31154068978228,Book,,DS715 .Z46644 2024,NYU Inst Study Ancient World,Reference 5 Collection,9998786553107876,Zhongguo kao gu fa jue bao gao ti yao /,7520531058; 9787520531054,,,Zhongguo wen shi chu ban she,Beijing Shi :,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.,http://vocab.getty.edu/tgn/8697462; http://vocab.getty.edu/tgn/8697463;,,0,v.11,,,,2026-03-03,2026-03-03,"China, South Asia, & East Asia",0.9027634058405131,0.0,0.014105678216258017,0.9027634058405131,0.038689860250307705,0.03224155020858975,0.012199505484331259,0.0
31154068978236,Book,,DS715 .Z46644 2024,NYU Inst Study Ancient World,Reference 5 Collection,9998786553107876,Zhongguo kao gu fa jue bao gao ti yao /,7520531058; 9787520531054,,,Zhongguo wen shi chu ban she,Beijing Shi :,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.,http://vocab.getty.edu/tgn/8697462; http://vocab.getty.edu/tgn/8697463;,,0,v.7,,,,2026-03-03,2026-03-03,"China, South Asia, & East Asia",0.9027634058405131,0.0,0.014105678216258017,0.9027634058405131,0.038689860250307705,0.03224155020858975,0.012199505484331259,0.0
31154068978244,Book,,DS715 .Z46644 2024,NYU Inst Study Ancient World,Reference 5 Collection,9998786553107876,Zhongguo kao gu fa jue bao gao ti yao /,7520531058; 9787520531054,,,Zhongguo wen shi chu ban she,Beijing Shi :,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.,http://vocab.getty.edu/tgn/8697462; http://vocab.getty.edu/tgn/8697463;,,0,v.6:pt.2,,,,2026-03-03,2026-03-03,"China, South Asia, & East Asia",0.9027634058405131,0.0,0.014105678216258017,0.9027634058405131,0.038689860250307705,0.03224155020858975,0.012199505484331259,0.0
31154068978251,Book,,DS715 .Z46644 2024,NYU Inst Study Ancient World,Reference 5 Collection,9998786553107876,Zhongguo kao gu fa jue bao gao ti yao /,7520531058; 9787520531054,,,Zhongguo wen shi chu ban she,Beijing Shi :,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.,http://vocab.getty.edu/tgn/8697462; http://vocab.getty.edu/tgn/8697463;,,0,v.6:pt.1,,,,2026-03-03,2026-03-03,"China, South Asia, & East Asia",0.9027634058405131,0.0,0.014105678216258017,0.9027634058405131,0.038689860250307705,0.03224155020858975,0.012199505484331259,0.0
31154068978269,Book,,DS715 .Z46644 2024,NYU Inst Study Ancient World,Reference 5 Collection,9998786553107876,Zhongguo kao gu fa jue bao gao ti yao /,7520531058; 9787520531054,,,Zhongguo wen shi chu ban she,Beijing Shi :,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.,http://vocab.getty.edu/tgn/8697462; http://vocab.getty.edu/tgn/8697463;,,0,v.9,,,,2026-03-03,2026-03-03,"China, South Asia, & East Asia",0.9027634058405131,0.0,0.014105678216258017,0.9027634058405131,0.038689860250307705,0.03224155020858975,0.012199505484331259,0.0
31154068978277,Book,,DS715 .Z46644 2024,NYU Inst Study Ancient World,Reference 5 Collection,9998786553107876,Zhongguo kao gu fa jue bao gao ti yao /,7520531058; 9787520531054,,,Zhongguo wen shi chu ban she,Beijing Shi :,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.,http://vocab.getty.edu/tgn/8697462; http://vocab.getty.edu/tgn/8697463;,,0,v.8,,,,2026-03-03,2026-03-03,"China, South Asia, & East Asia",0.9027634058405131,0.0,0.014105678216258017,0.9027634058405131,0.038689860250307705,0.03224155020858975,0.012199505484331259,0.0
