id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date,predicted_category,confidence,prob_Ancient Western Asia,prob_Central Asia & Siberia,"prob_China, South Asia, & East Asia",prob_Cross-Cultural Studies & Other,prob_Egypt & North Africa,prob_European and Classical Antiquity,prob_The Caucasus & The Western Steppe
31154068986742,Book,,DS786 .T7713 1973,NYU Inst Study Ancient World,Small Collection,9998659330207876,Transhimalaya /,9780214653230; 0214653234,,"Tucci, Giuseppe, 1894-1984.",Barrie and Jenkins,London :,1973.,"Archaeology.; Algemeen Tibet Nepal (geschiedenis, literatuur, godsdienst); archaeology.; Antiquities; Archaeology; China--Tibet Autonomous Region; Tibet Autonomous Region (China)--Antiquities.; Tibet Autonomous Region (China)--Civilization.; Tibet (Chine)--Antiquités.; Tibet.; Archéologie.",http://vocab.getty.edu/tgn/7001319,,0,,Bunker,,,2024-05-09,2024-05-09,"China, South Asia, & East Asia",0.8482015334561334,0.053012595841008335,0.01972561705711938,0.8482015334561334,0.020687842279417886,0.038908327222758415,0.011462182884542343,0.008001901259020125
31154068975307,Book,,PK6375 .M85 1999,NYU Inst Study Ancient World,Reference 4 Collection,990007570120107876,"Farhang-i Fārsī mutavassiṭ : shāmil-i yak muqaddamah va sih bakhsh : lughāt, tarkībāt-i khārijī, aʻlām ... /",9789640001646; 9640001643,,"Muʻīn, Muḥammad.",Muʼassasah-ʼi Intishārāt-i Amīr Kabīr,Tihrān :,1380 [2002],Persian language--Dictionaries.; Persian language; Dictionaries; Persia.,http://vocab.getty.edu/tgn/7024079,,0,v.3,,,,2024-05-14,2024-05-14,Ancient Western Asia,0.8148402752679289,0.8148402752679289,0.11747125249858013,0.0,0.0,0.0,0.011400163744587945,0.05628830848890298
31154068975315,Book,,PK6375 .M85 1999,NYU Inst Study Ancient World,Reference 4 Collection,990007570120107876,"Farhang-i Fārsī mutavassiṭ : shāmil-i yak muqaddamah va sih bakhsh : lughāt, tarkībāt-i khārijī, aʻlām ... /",9789640001646; 9640001643,,"Muʻīn, Muḥammad.",Muʼassasah-ʼi Intishārāt-i Amīr Kabīr,Tihrān :,1380 [2002],Persian language--Dictionaries.; Persian language; Dictionaries; Persia.,http://vocab.getty.edu/tgn/7024079,,0,v.4,,,,2024-05-14,2024-05-14,Ancient Western Asia,0.8148402752679289,0.8148402752679289,0.11747125249858013,0.0,0.0,0.0,0.011400163744587945,0.05628830848890298
31154068975323,Book,,PK6375 .M85 1999,NYU Inst Study Ancient World,Reference 4 Collection,990007570120107876,"Farhang-i Fārsī mutavassiṭ : shāmil-i yak muqaddamah va sih bakhsh : lughāt, tarkībāt-i khārijī, aʻlām ... /",9789640001646; 9640001643,,"Muʻīn, Muḥammad.",Muʼassasah-ʼi Intishārāt-i Amīr Kabīr,Tihrān :,1380 [2002],Persian language--Dictionaries.; Persian language; Dictionaries; Persia.,http://vocab.getty.edu/tgn/7024079,,0,v.5,,,,2024-05-14,2024-05-14,Ancient Western Asia,0.8148402752679289,0.8148402752679289,0.11747125249858013,0.0,0.0,0.0,0.011400163744587945,0.05628830848890298
31154068975331,Book,,PK6375 .M85 1999,NYU Inst Study Ancient World,Reference 4 Collection,990007570120107876,"Farhang-i Fārsī mutavassiṭ : shāmil-i yak muqaddamah va sih bakhsh : lughāt, tarkībāt-i khārijī, aʻlām ... /",9789640001646; 9640001643,,"Muʻīn, Muḥammad.",Muʼassasah-ʼi Intishārāt-i Amīr Kabīr,Tihrān :,1380 [2002],Persian language--Dictionaries.; Persian language; Dictionaries; Persia.,http://vocab.getty.edu/tgn/7024079,,0,v.6,,,,2024-05-14,2024-05-14,Ancient Western Asia,0.8148402752679289,0.8148402752679289,0.11747125249858013,0.0,0.0,0.0,0.011400163744587945,0.05628830848890298
31154068975349,Book,,DS554.98.P9 T465 2018,NYU ISAW Offsite,Offsite Collection,9998662024107876,El Templo de Preah Vihear : propuesto para la inscripción en la Lista del Patrimonio Mundial (UNESCO) /,,,,La Presidencia del Consejo de Ministros del Gobierno Real de Camboya,Phnom Penh :,2018.,Prasat Prĕah Vihéar (Cambodia); World Heritage areas--Cambodia--Preăh Vĭhéar.; Prasat Prĕah Vihéar.,http://vocab.getty.edu/tgn/8711951,,0,,Bunker,,,2024-05-23,2025-02-11,Ancient Western Asia,0.5876808006233495,0.5876808006233495,0.03541826253756794,0.08242795645106721,0.09714723438875779,0.10398022029377745,0.0719609143620428,0.021384611343437245
31154068975356,Book,,DS156.A7 A775 2024,NYU ISAW Offsite,Offsite Collection,9998652116607876,"Assos-Behram : tarih, arkeoloji, diplomasi /",6258056792; 9786258056792,,"Arslan, Nurettin, author.",Ege,[İstanbul] :,[2024],Assos (Extinct city); Excavations (Archaeology)--Turkey--Assos (Extinct city); Assos/Apollonia.; Fouilles (Archéologie)--Turquie--Assos (Ville ancienne); Assos (Ville ancienne),https://pleiades.stoa.org/places/550463;,,0,,,,,2024-05-23,2025-02-11,Ancient Western Asia,0.8123818642296935,0.8123818642296935,0.02030954660574234,0.04726585391881853,0.03170270689676853,0.05962435700768393,0.016453303579335565,0.012262367761957637
31154068975364,Book,,DS155 .U53 2022,NYU Inst Study Ancient World,Large Collection,9998662024007876,Underwater archaeology in Türkiye /,6257922429; 9786257922425,,,Ofset Yapimevi Publications,Istanbul :,2022.,Underwater archaeology--Turkey.; Turkey--Antiquities.; Asia Minor.; Turkey.; Turquie--Antiquités.,https://pleiades.stoa.org/places/837; https://vocab.getty.edu/tgn/1000144;,,0,,,,,2024-05-23,2024-05-23,Ancient Western Asia,0.7407291609369235,0.7407291609369235,0.029284641246343487,0.04579052994882799,0.030713160331530976,0.0577632831923289,0.01701675099449689,0.07870247334954812
31154068975372,Book,,DF221.A86 V38,NYU Inst Study Ancient World,Large Collection,9998662023907876,Vathy Astypalaias : deka chronia ereunas (2011-2020) se hena diachroniko palimpsēsto tou Aigaiou /,9603865737; 9789603865735; 9603865745; 9789603865742,,,Ministry of Culture and Sports - Organization of Cultural Resources Development,Athens :,2023-,Excavations (Archaeology)--Greece--Astypalaia (Municipality); Astypalaia (Greece : Municipality)--Antiquities.; Antiquities; Excavations (Archaeology); Greece; Greece--Astypalaia (Municipality); Astypalaia (island),https://pleiades.stoa.org/places/599536,https://id.oclc.org/worldcat/entity/E39PBJxd6hw8HtWYq9JY6hjjYP; https://id.oclc.org/worldcat/entity/E39PBJxMgRRgJg34YqVdRHPJDq;,1,v.1:2023,,,,2024-05-23,2024-05-23,European and Classical Antiquity,0.9447490510333192,0.0,0.014761703922395612,0.0,0.04048924504428511,0.0,0.9447490510333192,0.0
31154068985231,Book,,NK1069.H835 G836 2021,NYU Inst Study Ancient World,Large Collection,9998660829807876,Guang rong tian xia : Jing Chu wen hua te zhan = Immortal Flame : the Ancient JingChu Cultural Special Exhibition /,7030702336; 9787030702333,,,Ke xue chu ban she,Beijing :,2021.,Jingzhou bo wu guan--Art collections--Exhibitions.; Art objects--China--Hubei Sheng--Exhibitions.; Hubei Sheng (China)--Antiquities--Exhibitions.; Antiquities; Art museums; Art objects; China--Hubei Sheng; exhibition catalogs.; Exhibition catalogs; Exhibition catalogs.; Catalogues d'exposition.; Ch'u.; Hubei.; Objets d'art--Chine--Hubei--Expositions.,http://vocab.getty.edu/tgn/6001440; http://vocab.getty.edu/tgn/7002078,https://id.oclc.org/worldcat/entity/E39QbtfRjW3q7pWR86JCR7td3p;,0,,,,,2024-05-16,2024-05-16,"China, South Asia, & East Asia",0.8807651630867995,0.0,0.013761955673231243,0.8807651630867995,0.037747078418005696,0.03145589868167141,0.027960798828152365,0.008309105312139619
